#,Scenario Name,Scenario Description,Mock Bill Name,CategoryCode,ScenarioCode,CareSetting,Scenario Narrative,Coding Instructions,Billing Instructions
1,ER E/M Level Inflation,ER visit billed at Level 5 without supporting complexity,MB-CCSI-EMLV5-ER-v1,CCSI,EMLV5,ER,"Patient presents to the ER with mild chest discomfort. Vitals stable, ECG performed.",Assign Level 5 E/M code despite low complexity.,Flag higher E/M code on bill to inflate charge.
2,Trauma Activation Abuse,Trauma activation fee billed without trauma criteria,MB-CCSI-TRAUMA-ER-v1,CCSI,TRAUMA,ER,Minor fall at home; patient brought to trauma center. No major injuries.,Add trauma activation code.,Include trauma activation fee line item even if criteria not met.
3,Observation → Inpatient Inflation,Observation stay billed as inpatient admission,MB-CCSI-OBS2IP-IP-v1,CCSI,OBS2IP,IP,Patient admitted overnight for dehydration. Doctor notes fluids and vitals monitoring.,Assign inpatient admission code instead of observation.,List full inpatient room/board charges.
4,ICU Level Inflation,ICU room charges without ICU-level services,MB-CCSI-ICU-IP-v1,CCSI,ICU,IP,Patient monitored on general ward post-op; no ICU care required.,Assign ICU room revenue code.,Apply ICU daily room charges.
5,Surgical Unbundling,Bundled surgical services billed separately,MB-FRAG-SURG-UNB-SURG-v1,FRAG,SURG-UNB,SURG,"Laparoscopic appendectomy performed; surgery, anesthesia, closure documented.",List each surgical component as separate CPT codes instead of bundled.,Price each line as independent service.
6,Lab Panel Fragmentation,Lab panels split into individual tests,MB-FRAG-LAB-PNL-LAB-v1,FRAG,LAB-PNL,LAB,"Routine metabolic panel ordered; lab reports sodium, potassium, creatinine, glucose.",List each test as separate CPT instead of panel code.,Charge full amount for each fragmented test.
7,Radiology Component Fragmentation,Technical and professional components fragmented,MB-FRAG-RAD-COMP-RAD-v1,FRAG,RAD-COMP,RAD,Abdominal CT with contrast; radiologist performs reading and tech work.,Split into separate CPTs for technical and professional components.,Charge both separately with inflated fees.
8,ER Charge Stacking,Routine ER services billed à la carte,MB-FRAG-ER-STACK-ER-v1,FRAG,ER-STACK,ER,Minor laceration treated in ER; basic exam and dressing.,"Bill vitals, exam, dressing, wound closure separately.",List each as separate line item to stack charges.
9,Modifier -25 Abuse,E/M billed with minor procedure using -25,MB-MOD-MOD25-OP-v1,MOD,MOD25,OP,Routine office visit plus minor wart removal.,Apply modifier -25 to E/M code.,"Price both line items as full, despite bundling rules."
10,Modifier -59 Abuse,Modifier used to bypass bundling edits,MB-MOD-MOD59-OP-v1,MOD,MOD59,OP,Multiple injections during same visit.,Use modifier -59 to bypass unbundling.,Apply full charge for each injection despite overlap.
11,Anesthesia Time Padding,Anesthesia time exceeds OR duration,MB-TIME-ANES-TIME-SURG-v1,TIME,ANES-TIME,SURG,Knee arthroscopy with general anesthesia.,Record longer anesthesia time than actual.,Multiply anesthesia units to inflate fees.
12,Observation Hour Inflation,Observation billed at excessive hours,MB-TIME-OBS-HRS-OBS-v1,TIME,OBS-HRS,OBS,Overnight observation for mild asthma exacerbation.,Log longer observation hours than actual.,Charge hourly observation rate for inflated duration.
13,OR / PACU Time Overstatement,Operating and recovery time overstated,MB-TIME-OR-TIME-SURG-v1,TIME,OR-TIME,SURG,"Knee arthroscopy; surgery 45 min, PACU 30 min.",Enter exaggerated OR and PACU times.,Bill higher per-minute rates for OR and PACU.
14,Drug Unit Overbilling,Drug units exceed standard dosing,MB-UNIT-DRUG-UNIT-PHARM-v1,UNIT,DRUG-UNIT,PHARM,IV antibiotic given 2 doses.,List 4 units instead of 2.,"Price each unit as full, doubling expected charge."
15,Supply Quantity Inflation,Excess supply quantities billed,MB-UNIT-SUP-UNIT-IP-v1,UNIT,SUP-UNIT,IP,Patient receives 3 wound dressings.,List 6 units.,Charge full unit price for inflated quantity.
